"Data Source","World Development Indicators",

"Last Updated Date","2019-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Azerbaijan","AZE","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","24.0310306549072","","","","","23.8773193359375","","25.2077198028564","24.4816398620605","24.1989097595215","24.7592792510986","25.2391700744629","22.2258796691895","19.3549995422363","18.3825702667236","18.0803508758545","17.5849208831787","","","","","","","","","19.78946","19.3646","19.04789","19.05771","19.26004","19.64731","20.43846","21.44043","23.15973","25.4832","25.92642","27.06741","27.7085","",
"Burundi","BDI","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","0.171700000762939","0.174620002508163","0.164120003581047","0.240559995174408","0.246690005064011","0.294719994068146","","","0.448850005865097","0.452030003070831","0.46246001124382","0.50203001499176","","0.570699989795685","0.589890003204346","0.643959999084473","0.626190006732941","0.740760028362274","0.74124002456665","0.702390015125275","0.787310004234314","0.851719975471497","0.959410011768341","","","","","0.945879995822906","1.04488003253937","1.22362","1.19844","1.88244","","2.44521","2.46322","2.4537","2.48913","2.66849","2.82033","3.25461","3.06924","3.77758","4.54625","5.13304","","5.8402","6.05016","","",
"Belgium","BEL","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","17.1353206634521","17.5455894470215","19.5174407958984","20.5078506469727","20.8052501678467","","","24.3967895507813","25.6498107910156","25.1182594299316","24.4859504699707","26.4157104492188","27.1460304260254","28.1913604736328","30.889139175415","31.6775608062744","32.9966087341309","34.0087509155273","35.5562782287598","37.6836700439453","39.1077308654785","","44.8516883850098","47.9145088195801","53.4343681335449","55.4469604492188","","","57.1271705627441","58.16906","58.85634","59.38278","59.83446","61.02287","61.08548","61.65359","61.20013","62.08624","65.26769","67.82901","69.84253","71.19202","72.11549","72.9974","74.55976","75.89064","79.66173","","",
"Benin","BEN","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","0.128769993782043","0.236210003495216","0.430500000715256","0.709710001945496","0.686320006847382","0.743160009384155","0.989759981632233","1.09575998783112","0.973290026187897","1.0602799654007","1.4570699930191","1.73175001144409","1.87916994094849","1.94499003887177","2.01415991783142","2.41410994529724","2.29046988487244","2.22248005867004","2.3640398979187","2.15538001060486","2.4603099822998","2.31565999984741","2.09526991844177","2.14401006698608","2.14354991912842","2.11244988441467","2.56200003623962","","3.26561999320984","3.71153","4.49685","5.32183","5.90655","5.98285","5.91417","6.81086","8.13719","8.04726","10.23199","13.77512","12.85589","13.9552","15.96484","15.95352","13.55343","12.9494","12.27414","","",
"Burkina Faso","BFA","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","0.0375399999320507","0.0469300001859665","0.0549499988555908","0.0860200002789497","0.101199999451637","0.201790004968643","0.18333999812603","0.222760006785393","0.229230001568794","0.213220000267029","0.278349995613098","0.426149994134903","0.500909984111786","0.539619982242584","0.593140006065369","0.611819982528687","0.638949990272522","0.678569972515106","0.754429996013641","0.756060004234314","0.700980007648468","0.930050015449524","1.08194005489349","1.05425000190735","1.09777998924255","1.05427002906799","0.969240009784698","","0.999130010604858","","1.15666","1.41178","1.60116","","2.30734","2.44097","2.61219","3.18105","3.53374","3.57942","4.14652","4.55887","4.77675","5.07697","5.06383","5.56196","6.0034","6.50187","",
"Bangladesh","BGD","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","2.13338994979858","","2.44963002204895","2.56055998802185","3.35886001586914","","2.79822993278503","3.00669002532959","2.39063000679016","3.36555004119873","3.24599003791809","3.09602999687195","3.80131006240845","4.67838001251221","5.04443979263306","5.11442995071411","4.98485994338989","4.32374000549316","3.71819996833801","3.67474007606506","4.20896005630493","","","","","","","","","5.6334400177002","5.63134","6.65154","6.34442","6.39096","5.88915","6.4467","7.3612","7.93297","8.88409","10.85809","","13.69156","13.801","","13.86508","","17.87436","18.15146","20.56507","",
"Bulgaria","BGR","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","14.2505598068237","15.5040998458862","17.1391906738281","18.0317306518555","19.0538501739502","19.4302406311035","19.7467098236084","21.9737606048584","18.2354507446289","17.0595207214355","16.1018905639648","15.6368398666382","15.4118003845215","15.9854001998901","17.0292301177979","18.7006607055664","20.7540302276611","22.5471496582031","25.0105495452881","26.1553707122803","30.9803199768066","30.3795890808105","31.8333702087402","33.5851707458496","36.4021911621094","40.9453201293945","42.9656715393066","42.7830200195313","44.8327598571777","44.12976","42.78108","40.88225","41.62207","42.55524","45.36802","47.15087","50.58833","51.91331","54.23545","57.79518","59.02869","61.35998","64.19198","67.56356","70.30154","71.24574","","","",
"Bahrain","BHR","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","1.5135600566864","1.43224000930786","1.4324699640274","2.2393000125885","2.23843002319336","2.19489002227783","3.52076005935669","3.251620054245","2.76427006721497","3.22311997413635","4.67864990234375","5.88691997528076","","","12.1614999771118","12.7171497344971","9.54413032531738","13.2931299209595","","","17.2294406890869","16.9524898529053","17.5538196563721","16.7697105407715","16.5609302520752","17.6057395935059","","","21.6474609375","","","","27.94311","","23.95824","22.79489","","","","","43.96669","43.19741","39.54289","41.32924","43.27575","46.56614","47.14588","50.4819","",
"Bahamas, The","BHS","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","30.1288204193115","27.5332107543945","25.7497100830078","18.7191295623779","16.3536796569824","15.2002096176147","11.6367301940918","13.5484104156494","15.0007600784302","17.4443702697754","19.3540802001953","20.9262008666992","","","","","","","15.0581798553467","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.97106","22.97824","23.34466","","","","","","","","","","","","","","","","","",
