"Data Source","World Development Indicators",

"Last Updated Date","2019-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Burundi","BDI","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.9000015258789","","","","","","","","","","","","","","","","77.7002029418945","","","77.7600021362305","","",
"Belgium","BEL","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","37.2400016784668","","37.6500015258789","37.5299987792969","","","44.7709007263184","43.8274993896484","44.2983016967773","44.2454986572266","43.5797996520996","43.717098236084","44.388599395752","44.834400177002","45.8314018249512","46.3061981201172","45.7169990539551","45.475700378418","45.8157997131348","45.6279983520508","45.9987983703613","46.111499786377","47.421199798584","48.8484992980957","47.7471008300781","47.6511993408203","47.4043998718262","48.1985015869141","48.8008003234863","48.7346000671387","49.5959014892578","49.9337997436523","49.2444000244141","49.5861015319824","49.4003982543945","49.2332000732422","49.046501159668","48.94580078125","48.7877998352051","48.9544982910156","50.0213012695313","50.964599609375","",
"Benin","BEN","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.5500030517578","","","","","","","74.5199966430664","69.9775009155273","","","","","","","","",
"Burkina Faso","BFA","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","79.5999984741211","","","","","","","","","76.5999984741211","","","","","","","","","82.5999984741211","","","71.0100021362305","","","","","","","","61.3712005615234","","","","","",
"Bangladesh","BGD","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","54.1100006103516","54.1699981689453","54.6500015258789","","","84.8000030517578","","83.8600006103516","","","","","78.7099990844727","","","","69.7099990844727","","","54.8199996948242","","","55.986198425293","","","","56.5969009399414","","","54.6491012573242","","","56.0900001525879","55.7776985168457","","",
"Bulgaria","BGR","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.0425987243652","41.1389007568359","41.6176986694336","43.0663986206055","44.4672012329102","44.6789016723633","46.7022018432617","48.9785995483398","50.7899017333984","49.4098014831543","47.9053001403809","46.5990982055664","46.5662994384766","46.9252014160156","47.9576988220215","49.1240005493164","49.2915992736816","51.9422988891602","52.4394989013672","",
"Bahrain","BHR","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","35.75","","","","","","","","","","","39.4000015258789","61.0800018310547","40","41.2999992370605","41.7000007629395","40.5999984741211","39.9000015258789","41.0999984741211","41.5999984741211","42.9000015258789","44.4000015258789","62.0999984741211","48.7999992370605","52.9000015258789","57.7999992370605","55.8800010681152","82.0899963378906","59.9000015258789","","63.8899993896484","71.25","70.1600036621094","","","","70.9300003051758","","","","",
"Bahamas, The","BHS","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","32.3199996948242","","","","","","","","","","45.189998626709","","64.5999984741211","63.2999992370605","65.8000030517578","67.129997253418","65.8000030517578","65.1999969482422","67.5999984741211","65.2099990844727","69.4000015258789","","70.9000015258789","69.4000015258789","","67.9599990844727","","","","69.6999969482422","62.939998626709","","62.0999984741211","64.0500030517578","","","","","","","",
"Bosnia and Herzegovina","BIH","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3938999176025","30.8339996337891","33.214599609375","32.7837982177734","32.1022987365723","31.6154003143311","31.5263004302979","31.4188995361328","31.4755992889404","31.735200881958","32.1147003173828","33.6076011657715","34.1945991516113","35.2422981262207",
"Belarus","BLR","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.689998626709","","","","","","","","","","","","57.7000007629395","","","","","","81.3000030517578","66.6999969482422","67.1999969482422","67.5","",
"Belize","BLZ","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.2400016784668","","","51.4099998474121","50.2599983215332","51.7200012207031","","","","","","","","","","","","","57.7999992370605","57.4016990661621","58.2578010559082","58.6777992248535","59.7518005371094","59.8105010986328","","",
"Bermuda","BMU","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.4400024414063","","","","","","","","","69.75","70.1287689208984","","","","","","","","","",
