"Data Source","World Development Indicators",

"Last Updated Date","2019-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Burkina Faso","BFA","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","22.4860095977783","25.8507900238037","28.6183700561523","29.4495296478271","26.0031890869141","30.6982707977295","","31.5013904571533","30.8006591796875","","","","","","","","","","","","","","41.8197288513184","","","","","62.9355583190918","60.5677795410156","62.19793","","61.92542","","67.94847","65.53328","67.58143","74.22284","74.28429","76.08282","","72.85261","69.01551","70.64561","77.24833","78.19348","76.97813","80.78387","","",
"Bangladesh","BGD","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","99.3999786376953","99.6039810180664","98.5001831054688","99.5002365112305","93.3670272827148","99.8434219360352","98.6014022827148","96.4230270385742","95.1196823120117","98.6830062866211","100","98.0583114624023","","98.7259216308594","","99.65849","98.59813","98.93118","98.61659","98.35313","98.43347","97.8375","97.40366","98.3046","99.19524","99.04596","99.28449","99.78383","100","99.47173","98.90545","","","","",
"Bahrain","BHR","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","87.1019134521484","86.4462814331055","91.4655227661133","","96.9697036743164","","95.0137023925781","","","97.1349182128906","98.2007598876953","98.717170715332","","","","","","","100","98.5705","98.41401","98.75906","98.57471","98.34636","","","","","","","99.79347","100","99.66881","99.76448","100","99.28571","99.36462","","",
"Bahamas, The","BHS","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.6821","100","100","","99.33287","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.52933","","","","","99.64212","99.14783","98.30714","97.75499","","",
"Belarus","BLR","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","97.1790237426758","99.6896286010742","","97.5375213623047","99.711540222168","100","99.12654","100","100","99.18664","99.39026","100","97.49492","","","99.60756","98.16132","97.60368","98.18751","98.02455","97.91476","97.60337","97.64418","","",
"Belize","BLZ","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.7955093383789","","","93.9952926635742","93.5812072753906","","","","92.5042572021484","93.63785","","100","94.22236","100","92.93015","94.17314","96.25312","96.26142","94.96021","96.89039","100","95.21656","97.28208","97.25356","95.8042","93.49257","97.43146","","",
"Bermuda","BMU","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.22642","","","","","","","","","86.89443","","","","","","","","",
"Bolivia","BOL","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.83282","95.12287","96.87011","96.63624","97.28819","97.50141","96.86757","","","",
"Brazil","BRA","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","72.9600677490234","90.2770919799805","90.7741394042969","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.7222290039063","100","98.49108","100","96.25192","100","100","96.79505","98.18869","100","","","","","","","","","","","",
"Brunei Darussalam","BRN","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","86.5279312133789","","92.8540267944336","77.6849136352539","70.7264022827148","84.6806564331055","","89.1084594726563","92.7045288085938","","100","85.3461303710938","","","","","","","","","","","","","","","","","","","87.36521","97.72262","96.56265","99.89629","100","99.85816","100","99.28104","100","99.24229","100","99.49669","100","","100","100","","",
"Bhutan","BTN","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","90.9691619873047","59.5782089233398","","","","","","","","","","","","","","","89.5209579467773","","","","93.1708831787109","92.9529266357422","92.855339050293","92.46641","","","","","95.55022","","","96.2521","97.62376","99.15912","97.72891","95.64067","98.00137","","","99.12811","","","",
"Botswana","BWA","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","53.0216789245605","49.6612014770508","50.7300796508789","58.3517112731934","60.0735893249512","71.1257095336914","87.9335327148438","79.9839172363281","87.7719116210938","85.6954193115234","91.9454193115234","","","","95.5219268798828","96.8404083251953","95.16801","95.88173","100","97.14496","100","98.45508","98.30338","98.09901","","","","","97.377","","","","","","","",
"Central African Republic","CAF","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","38.2298583984375","41.84912109375","37.8344993591309","","","","36.1054000854492","","","52.0268592834473","69.3075180053711","72.9844512939453","","","53.9716186523438","44.7990913391113","56.4120483398438","56.0752105712891","49.6893997192383","54.5547981262207","","","","","","","","","","","","","","73.74336","","","","62.82517","","","80.54362","","","","","","","","",
"Canada","CAN","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7113800048828","99.2658233642578","99.1898422241211","98.2736587524414","99.5166091918945","99.7996597290039","98.867431640625","100.056716918945","100.06356048584","100.064010620117","100.030158996582","100.129119873047","100.099258422852","100.084800720215","99.9846878051758","99.6471786499023","99.6330032348633","99.7613296508789","99.7171096801758","99.63226","99.66149","99.33214","99.50065","99.64976","99.73507","99.75937","99.76506","","",
"Switzerland","CHE","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.88632","99.78637","100","100","99.69607","99.47135","99.54291","99.23348","99.37605","99.81243","99.77818","99.82513","99.67959","100","99.75759","100","100","","","",
"Channel Islands","CHI","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","91.9503784179688","91.9605484008789","89.914306640625","89.0958099365234","87.3777008056641","85.7774810791016","91.7237319946289","","","","","","94.0873794555664","","","","","","","","","","","","","","97.9682312011719","","","","","","","","","","","","","","95.69367","96.68376","96.45688","96.70423","96.74968","96.98251","97.39707","","","",
"China","CHN","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8269577026367","89.9068603515625","","","","","","","","","","","","98.79232","98.5216","98.41723","","97.15898","","","","","","","",
